668,ÜZÜM KOMPOSTO,GRAPE COMPOTE,TRAUBEN KOMPOTT,ВИНОГРАДНЫЙ КОМПОТ,0,0,0,0
669,ÇİNGENE SALATASI,GIPSY SALAD,ZIEGEUNER SALAT,ЦЫГАНСКИЙ САЛАТ,0,0,0,0
670,KARAMELLİ ELMA REÇELİ,APPLE JAM WITH CARAMEL,APFEL KONFITÜREN MIT KARAMELLE,КАРАМЕЛИЗИРОВАННОЕ ЯБЛОЧНОЕ ВАРЕНЬЕ,0,0,0,0
671,ŞARKÜTERİLİ TEPSİ BÖREĞİ,TURKISH PASTRY WITH HAM,PASTETE MIT DELIKATESSENGESCHÄFT,ТУРЕЦКИЙ БОРЕК,0,0,0,0
672,KEFİR,KEFIR,,кефир,0,0,0,0
673,FİLTRE KAHVE,COFFEE,COFFEE,КОФЕ,0,0,0,0
674,SICAK SÜT,HOT MILK,HEISSE MILCH,ГОРЯЧЕЕ МОЛОКО,0,0,0,0
675, VİŞNE SUYU,CHERRY JUICE,KIRSCHEN SAFT,ВИШНЁВЫЙ СОК,0,0,0,0
676,LİMONATA,TRADITIONAL LEMONADE,ZITRONE SAFT,ЛИМОННЫЙ СОК,0,0,0,0
677,SOĞUK SU,COLD WATER,KALTE WASSER,ХОЛОДНАЯ ВОДА,0,0,0,0
678,SICAK SU,HOT  WATER,WARM WASSER,ГОРЯЧЯЯ ВОДА,0,0,0,0
679,SOĞUK SÜT,COLD MILK,KALTE MİLCH,XOЛOДHOE МОЛОКО,0,0,0,0
680,TAZE PORTAKAL SUYU,FRESH ORANGE JUICE,GEPRESST FRISCH ORENGENSAFT,СВЕЖИЙ АПЕЛЬСИНОВЫЙ СОК,0,0,0,0
681,PORTAKAL SUYU,ORANGE JUICE,ORANGENSAFT,АПЕЛЬСИНОВЫЙ СОК,0,0,0,0
682,DIET,,,,0,0,0,0
683,DİYET KAHVALTI BÜFESİ,DIET BUFFET,DIET BUFET,ДИЕТИЧЕСКИЕ  БЛЮДА,0,0,0,0
684,DİYET EKMEK ,DIET BREAD,DIET BROUD,ДИЕТИЧЕСКИЙ ХЛЕБ,0,0,0,0
685,DİYET HİNDİ JAMBONU,DIET TURKEY HAM,DIET TRUTHAHN SCHINKEN,ДИЕТИЧЕСКАЯ КОЛБАСА ИЗ ИНДЕЙКИ,0,0,0,0
686,DİYET MARGARİN,DIET MARGARINE,DIET MARGARINE,ДИЕТИЧЕСКИЙ МАРГАРИН,0,0,0,0
687,DİYET PEYNİR,DIET CHEESE,DIET KASE,ДИЕТИЧЕСКИЙ СЫР,0,0,0,0
688,DİYET REÇEL ,DIET JAM,DIET MARMELADE,ДИЕТИЧЕСКОЕ ВАPЁНЬЕ,0,0,0,0
689,DİYET YOĞURT,DIET YOGURT,DIET JOGHURT,ДИЕТИЧЕСКИЙ ЙОГУРТ,0,0,0,0
690,DİYET SÜT,DIET MILK,DIET MILCH,ДИЕТИЧЕСКОЕ МОЛОКО,0,0,0,0
691,MEYVE,,,,0,0,0,0
692,ARMUT,PEAR,BIRNEN,ГРУША,0,0,0,0
693,ÇİLEK,STRAWBERRY,ERDBEEREN,КЛУБНИКА,0,0,0,0
694,ELMA,APPLE ,APFEL,ЯБЛОКО\,0,0,0,0
695,ERİK,PLUM,PFLAUME,СЛИВА,0,0,0,0
696,GREYFURT,GRAPEFRUIT,PAMPELMUSE,ГРЕЙПФРУТ,0,0,0,0
697,İNCİR, FIG,FEIGE,ИНЖИР,0,0,0,0
698,KARPUZ,WATERMELON,WASSER MELONE,АРБУЗ,0,0,0,0
699,KAVUN,MELON,MELONE,ДЫНЯ,0,0,0,0
700,KAYISI,APRICOT,APRIKOSEN,АБРИКОС,0,0,0,0
701,MANDALİNA,TANGERINE,MANGERINE,МАНДАРИН,0,0,0,0
702,MUZ,BANANA,BANANE,БАНАН,0,0,0,0
703,PORTAKAL,ORANGE,APFELSINE,АПЕЛЬСИН,0,0,0,0
704,ŞEFTALİ,PEACH ,PFIRSICH,ПЕРСИК,0,0,0,0
705,ÜZÜM,GRAPES,TRAUBEN,ВИНОГРАД,0,0,0,0
706,YENİ DÜNYA ,LAQUAT,JAPANISCHE WOLLMISPEL,МАЛЬТИЙСКИЙ АБРИКОС,0,0,0,0
707,PASTANE,,,,0,0,0,0
708,ALASKA,BAKED ALASKA,EIS*** ALASKA***,МОРОЖЕНОЕ АЛЯСКА,0,0,0,0
709,ANANAS FLAMBE,PINEAPPLE FLAMBE,ANANAS FLAMBIERT,АНАНАС ФЛАМБЕ,0,0,0,0
710,BİRYOŞ MARMELATLI,DESSERT WITH MARMALADE,,МАРМЕЛАДОВЫЙ ДЕСЕРТ,0,0,0,0
711,ÇİKOLATA SOS,CHOCOLATE SAUCE,SCHOKOLADE SOβE,ШОКОЛАДНЫЙ СОУС,0,0,0,0
712,DONDURMA,ICE CREAM,EIS,МОРОЖЕНОЕ,0,0,0,0
713,DONUT,DOUGHNUTS,DONUT,ПОНЧИК,0,0,0,0
714,DONUT,DOUGHNUTS,DONUT,ПОНЧИК,0,0,0,0
715,DONUT ÜZÜMLÜ,DOUGHNUTS WITH RAISINS,DONUT MIT ROSINE,ПОНЧИК C ИЗЮМОМ,0,0,0,0
716,DONUT ÜZÜMLÜ,DOUGHNUTS WITH RAISINS,DONUT MIT ROSINE,ПОНЧИК C ИЗЮМОМ,0,0,0,0
717,ELMA BENYE,APPLE BENYE,APFEL  BENYE,ЯБЛОЧНОЕ БЕНЬЕ,0,0,0,0
718,İZMİR LOKMA,LOKMA - TRADITIONAL TURKISH DESSERT,LOKMA***Süβ***,ИЗМИРСКАЯ ЛОКМА,0,0,0,0
719,KÜNEFE,KUNEFE TRADITIONAL TURKISH DESSERT,KUNEFE***Süβ***,КЮНЕФЕ,0,0,0,0
720,LOKMA,LOKMA - TRADITIONAL TURKISH DESSERT,LOKMA***Süβ***,ЛОКМА,0,0,0,0
721,MANDALİNA,TANGERINE,MANGERINE,МАНДАРИН,0,0,0,0
